CASENO,WORD1,WORD2,WORD3,WORD4,WORD5,WORD6,WORD7,WORD8,WORD9,WORD10,WORD11,WORD12,WORD13,WORD14,WORD15,WORD16,WORD17,WORD18,WORD19,WORD20,WORD21,WORD22,WORD23,WORD24,WORD25,WORD26,WORD27,WORD28,WORD29,WORD30,WORD31,WORD32,WORD33,WORD34,WORD35
32,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
33,1,4,0,1,1,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
34,2,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
35,1,4,0,1,1,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
36,2,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0
37,1,3,5,3,1,1,1,2,1,2,2,1,2,0,3,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
38,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,2,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0
43,4,2,3,0,1,1,1,0,0,0,0,3,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44,3,1,0,1,1,0,0,3,0,0,2,0,1,0,4,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
